iter	Passed	Remaining
0	58	11576
1	106	10545
2	156	10285
3	208	10239
4	263	10294
5	315	10186
6	377	10419
7	431	10355
8	490	10414
9	545	10361
10	606	10423
11	661	10361
12	718	10335
13	775	10309
14	835	10303
15	865	9949
16	925	9960
17	994	10058
18	1056	10066
19	1111	10003
20	1174	10014
21	1229	9945
22	1287	9911
23	1341	9838
24	1398	9791
25	1454	9731
26	1513	9697
27	1570	9645
28	1627	9598
29	1641	9301
30	1697	9253
31	1755	9218
32	1810	9164
33	1869	9128
34	1895	8935
35	1954	8904
36	2009	8853
37	2067	8814
38	2120	8755
39	2178	8713
40	2232	8658
41	2291	8620
42	2353	8594
43	2413	8557
44	2468	8501
45	2525	8456
46	2578	8394
47	2636	8348
48	2690	8289
49	2752	8258
50	2809	8208
51	2868	8164
52	2924	8110
53	2983	8066
54	3044	8026
55	3108	7993
56	3192	8009
57	3256	7972
58	3309	7910
59	3343	7801
60	3397	7742
61	3457	7695
62	3513	7640
63	3574	7595
64	3629	7538
65	3688	7489
66	3742	7429
67	3803	7382
68	3858	7325
69	3918	7276
70	3976	7224
71	4036	7175
72	4091	7118
73	4148	7063
74	4205	7009
75	4264	6957
76	4325	6909
77	4385	6859
78	4439	6799
79	4535	6802
80	4589	6742
81	4647	6687
82	4702	6628
83	4763	6578
84	4817	6517
85	4876	6464
86	4931	6405
87	4995	6358
88	5049	6297
89	5112	6248
90	5134	6150
91	5189	6092
92	5249	6039
93	5303	5980
94	5367	5932
95	5449	5903
96	5507	5848
97	5567	5795
98	5625	5739
99	5680	5680
100	5740	5627
101	5795	5568
102	5852	5511
103	5908	5454
104	5970	5401
105	6024	5342
106	6082	5286
107	6136	5227
108	6194	5171
109	6247	5111
110	6305	5055
111	6362	4998
112	6421	4943
113	6475	4885
114	6532	4828
115	6587	4770
116	6645	4714
117	6699	4655
118	6759	4600
119	6813	4542
120	6870	4485
121	6923	4426
122	6981	4370
123	7035	4311
124	7093	4255
125	7150	4199
126	7208	4143
127	7263	4085
128	7320	4028
129	7374	3970
130	7432	3914
131	7487	3857
132	7548	3802
133	7622	3754
134	7682	3698
135	7736	3640
136	7794	3584
137	7848	3526
138	7906	3469
139	7963	3412
140	8022	3356
141	8079	3300
142	8136	3243
143	8191	3185
144	8248	3128
145	8301	3070
146	8364	3015
147	8419	2958
148	8477	2901
149	8531	2843
150	8589	2787
151	8643	2729
152	8664	2661
153	8717	2603
154	8774	2547
155	8832	2491
156	8886	2433
157	8942	2377
158	8998	2320
159	9055	2263
160	9109	2206
161	9168	2150
162	9222	2093
163	9279	2037
164	9340	1981
165	9400	1925
166	9453	1868
167	9509	1811
168	9564	1754
169	9623	1698
170	9675	1640
171	9734	1584
172	9808	1530
173	9869	1474
174	9922	1417
175	9983	1361
176	10037	1304
177	10096	1247
178	10152	1191
179	10209	1134
180	10262	1077
181	10320	1020
182	10372	963
183	10433	907
184	10486	850
185	10543	793
186	10597	736
187	10656	680
188	10709	623
189	10766	566
190	10822	509
191	10896	454
192	10961	397
193	11028	341
194	11085	284
195	11151	227
196	11211	170
197	11279	113
198	11341	56
199	11410	0
